x,y,s,s_norm,track_yaw_rad,kappa,w_l,w_r,n_x,n_y
4.0112,0.2004,4.0160,0.1646,-0.0493,-0.0505,0.4850,1.1350,0.0492,0.9988
4.0615,0.1979,4.0664,0.1667,-0.0519,-0.0547,0.4850,1.1250,0.0519,0.9987
4.1117,0.1952,4.1167,0.1688,-0.0548,-0.0588,0.4850,1.1250,0.0547,0.9985
4.1619,0.1924,4.1670,0.1708,-0.0578,-0.0629,0.4850,1.1250,0.0578,0.9983
4.2121,0.1894,4.2172,0.1729,-0.0611,-0.0670,0.4950,1.1250,0.0611,0.9981
4.2623,0.1862,4.2675,0.1750,-0.0646,-0.0711,0.4950,1.1150,0.0645,0.9979
4.3124,0.1829,4.3177,0.1770,-0.0682,-0.0753,0.4950,1.1150,0.0682,0.9977
4.3625,0.1794,4.3680,0.1791,-0.0721,-0.0794,0.5050,1.1150,0.0721,0.9974
4.4126,0.1757,4.4182,0.1811,-0.0762,-0.0836,0.5050,1.1050,0.0761,0.9971
4.4627,0.1717,4.4684,0.1832,-0.0805,-0.0877,0.5050,1.1050,0.0804,0.9968
4.5127,0.1676,4.5186,0.1853,-0.0850,-0.0919,0.5150,1.1050,0.0849,0.9964
4.5627,0.1632,4.5688,0.1873,-0.0897,-0.0961,0.5150,1.0950,0.0896,0.9960
4.6126,0.1586,4.6189,0.1894,-0.0946,-0.1003,0.5250,1.0950,0.0945,0.9955
4.6625,0.1537,4.6690,0.1914,-0.0998,-0.1045,0.5250,1.0850,0.0996,0.9950
4.7123,0.1486,4.7191,0.1935,-0.1051,-0.1087,0.5350,1.0850,0.1049,0.9945
4.7621,0.1432,4.7692,0.1955,-0.1106,-0.1129,0.5450,1.0750,0.1104,0.9939
4.8119,0.1376,4.8193,0.1976,-0.1164,-0.1171,0.5450,1.0750,0.1161,0.9932
4.8616,0.1316,4.8694,0.1996,-0.1224,-0.1214,0.5550,1.0650,0.1220,0.9925
4.9113,0.1253,4.9194,0.2017,-0.1285,-0.1256,0.5550,1.0150,0.1282,0.9918
4.9609,0.1188,4.9695,0.2037,-0.1349,-0.1298,0.5650,1.0050,0.1345,0.9909
5.0104,0.1119,5.0195,0.2058,-0.1415,-0.1340,0.5750,1.0050,0.1410,0.9900
5.0599,0.1047,5.0695,0.2078,-0.1483,-0.1382,0.5850,0.9950,0.1478,0.9890
5.1094,0.0971,5.1195,0.2099,-0.1553,-0.1424,0.5950,0.9850,0.1547,0.9880
5.1587,0.0892,5.1695,0.2119,-0.1625,-0.1466,0.5950,0.9850,0.1618,0.9868
5.2080,0.0809,5.2195,0.2140,-0.1700,-0.1507,0.6050,0.9750,0.1691,0.9856
5.2573,0.0723,5.2695,0.2160,-0.1776,-0.1547,0.6150,0.9650,0.1767,0.9843
5.3064,0.0632,5.3195,0.2181,-0.1854,-0.1587,0.5750,0.9650,0.1844,0.9829
5.3556,0.0538,5.3695,0.2201,-0.1935,-0.1626,0.5850,1.0050,0.1923,0.9813
5.4046,0.0440,5.4195,0.2222,-0.2017,-0.1665,0.5950,0.9950,0.2004,0.9797
5.4535,0.0338,5.4695,0.2242,-0.2102,-0.1703,0.6150,0.9850,0.2086,0.9780
5.5024,0.0231,5.5196,0.2263,-0.2188,-0.1740,0.6250,0.9750,0.2171,0.9762
5.5512,0.0121,5.5696,0.2283,-0.2277,-0.1777,0.6350,0.9650,0.2257,0.9742
5.5999,0.0005,5.6197,0.2304,-0.2368,-0.1814,0.6450,0.9550,0.2345,0.9721
5.6486,-0.0114,5.6698,0.2324,-0.2460,-0.1850,0.6650,0.9450,0.2435,0.9699
