x,y,s,s_norm,track_yaw_rad,kappa,w_l,w_r,n_x,n_y
3.8681,0.4437,3.8641,0.1584,-0.0587,-0.0788,0.5850,1.2250,0.0587,0.9983
3.9181,0.4407,3.9141,0.1605,-0.0627,-0.0845,0.5950,1.2250,0.0627,0.9980
3.9679,0.4374,3.9641,0.1625,-0.0670,-0.0901,0.5950,1.2250,0.0670,0.9978
4.0178,0.4340,4.0141,0.1646,-0.0715,-0.0954,0.5950,1.2150,0.0715,0.9974
4.0677,0.4303,4.0641,0.1666,-0.0763,-0.1003,0.6050,1.2150,0.0762,0.9971
4.1175,0.4263,4.1141,0.1687,-0.0813,-0.1049,0.6050,1.2150,0.0812,0.9967
4.1673,0.4222,4.1641,0.1707,-0.0865,-0.1092,0.6150,1.2050,0.0864,0.9963
4.2172,0.4177,4.2141,0.1728,-0.0920,-0.1132,0.6150,1.2050,0.0918,0.9958
4.2669,0.4130,4.2641,0.1749,-0.0977,-0.1170,0.6250,1.1950,0.0975,0.9952
4.3167,0.4079,4.3141,0.1769,-0.1036,-0.1205,0.6250,1.1950,0.1034,0.9946
4.3665,0.4026,4.3642,0.1790,-0.1098,-0.1237,0.6350,1.1850,0.1096,0.9940
4.4162,0.3970,4.4142,0.1810,-0.1162,-0.1266,0.6350,1.1850,0.1159,0.9933
4.4659,0.3910,4.4643,0.1831,-0.1228,-0.1292,0.5950,1.1850,0.1225,0.9925
4.5156,0.3847,4.5144,0.1851,-0.1297,-0.1315,0.6050,1.1750,0.1293,0.9916
4.5653,0.3780,4.5645,0.1872,-0.1368,-0.1334,0.6050,1.1650,0.1364,0.9907
4.6150,0.3710,4.6147,0.1892,-0.1441,-0.1351,0.6150,1.1650,0.1436,0.9896
4.6647,0.3636,4.6649,0.1913,-0.1513,-0.1364,0.6250,1.1550,0.1507,0.9886
4.7143,0.3559,4.7151,0.1933,-0.1584,-0.1374,0.6350,1.1550,0.1578,0.9875
4.7639,0.3478,4.7654,0.1954,-0.1655,-0.1381,0.6450,1.1450,0.1648,0.9863
4.8135,0.3393,4.8157,0.1975,-0.1726,-0.1385,0.6550,1.1350,0.1717,0.9851
4.8630,0.3305,4.8660,0.1995,-0.1795,-0.1387,0.6650,1.1250,0.1786,0.9839
4.9125,0.3213,4.9163,0.2016,-0.1865,-0.1386,0.6750,1.1250,0.1854,0.9827
4.9619,0.3118,4.9667,0.2037,-0.1933,-0.1382,0.6850,1.1150,0.1921,0.9814
5.0113,0.3020,5.0170,0.2057,-0.2001,-0.1377,0.6950,1.1050,0.1988,0.9800
5.0607,0.2918,5.0674,0.2078,-0.2069,-0.1369,0.7050,1.0950,0.2054,0.9787
5.1100,0.2813,5.1178,0.2099,-0.2136,-0.1360,0.7150,1.0850,0.2120,0.9773
5.1592,0.2704,5.1682,0.2119,-0.2203,-0.1350,0.7250,1.0750,0.2185,0.9758
5.2083,0.2593,5.2186,0.2140,-0.2269,-0.1341,0.7450,1.0650,0.2250,0.9744
5.2574,0.2478,5.2690,0.2161,-0.2335,-0.1330,0.7550,1.0550,0.2314,0.9729
5.3064,0.2359,5.3195,0.2181,-0.2400,-0.1320,0.7650,1.0450,0.2377,0.9713
5.3553,0.2238,5.3699,0.2202,-0.2465,-0.1310,0.7850,1.0350,0.2440,0.9698
5.4042,0.2113,5.4203,0.2223,-0.2529,-0.1300,0.7950,1.0250,0.2502,0.9682
5.4529,0.1986,5.4707,0.2243,-0.2593,-0.1290,0.8050,1.0150,0.2564,0.9666
5.5016,0.1855,5.5210,0.2264,-0.2657,-0.1281,0.8250,1.0050,0.2626,0.9649
5.5501,0.1721,5.5714,0.2285,-0.2720,-0.1273,0.8350,0.9850,0.2687,0.9632
5.5986,0.1584,5.6217,0.2305,-0.2783,-0.1266,0.8550,0.9750,0.2748,0.9615
5.6469,0.1445,5.6721,0.2326,-0.2846,-0.1260,0.8750,0.9650,0.2808,0.9598
5.6952,0.1302,5.7224,0.2346,-0.2908,-0.1252,0.8850,0.9550,0.2867,0.9580
5.7433,0.1156,5.7726,0.2367,-0.2970,-0.1243,0.9050,0.9350,0.2927,0.9562
5.7913,0.1008,5.8229,0.2388,-0.3032,-0.1233,0.9250,0.9250,0.2986,0.9544
5.8391,0.0856,5.8731,0.2408,-0.3093,-0.1221,0.9350,0.9050,0.3044,0.9525
5.8869,0.0702,5.9232,0.2429,-0.3154,-0.1198,0.9550,0.8950,0.3102,0.9507
5.9345,0.0545,5.9733,0.2449,-0.3215,-0.1167,0.9750,0.8850,0.3160,0.9488
5.9819,0.0386,6.0234,0.2470,-0.3276,-0.1130,0.9950,0.8650,0.3218,0.9468
6.0292,0.0223,6.0734,0.2490,-0.3336,-0.1089,1.0150,0.8550,0.3275,0.9449
6.0764,0.0058,6.1234,0.2511,-0.3396,-0.1046,1.0350,0.8350,0.3332,0.9429
6.1234,-0.0110,6.1733,0.2531,-0.3455,-0.1002,1.0550,0.8150,0.3387,0.9409
6.1703,-0.0280,6.2232,0.2552,-0.3512,-0.0960,1.0750,0.8050,0.3441,0.9389
6.2171,-0.0453,6.2731,0.2572,-0.3568,-0.0921,1.0950,0.7850,0.3493,0.9370
6.2637,-0.0628,6.3229,0.2593,-0.3622,-0.0886,1.1150,0.7650,0.3543,0.9351
6.3103,-0.0806,6.3728,0.2613,-0.3673,-0.0856,1.1350,0.7550,0.3591,0.9333
6.3568,-0.0986,6.4226,0.2634,-0.3723,-0.0835,1.1550,0.7350,0.3638,0.9315
6.4032,-0.1169,6.4725,0.2654,-0.3771,-0.0822,1.1850,0.7150,0.3682,0.9297
6.4495,-0.1353,6.5224,0.2675,-0.3817,-0.0818,1.2050,0.6950,0.3725,0.9280
6.4959,-0.1541,6.5724,0.2695,-0.3861,-0.0826,1.2250,0.6750,0.3766,0.9264
6.5421,-0.1730,6.6224,0.2716,-0.3904,-0.0846,1.2450,0.6550,0.3805,0.9248
6.5884,-0.1921,6.6724,0.2736,-0.3944,-0.0887,1.2750,0.6350,0.3842,0.9232
6.6347,-0.2115,6.7226,0.2757,-0.3982,-0.0951,1.3450,0.6150,0.3878,0.9218
6.6809,-0.2311,6.7728,0.2777,-0.4018,-0.1036,1.3750,0.5950,0.3911,0.9204
6.7272,-0.2508,6.8232,0.2798,-0.4052,-0.1139,1.3950,0.5750,0.3942,0.9190
6.7736,-0.2708,6.8736,0.2819,-0.4084,-0.1260,1.4150,0.5550,0.3972,0.9177
6.8199,-0.2909,6.9242,0.2839,-0.4122,-0.1397,1.4450,0.5350,0.4006,0.9162
6.8663,-0.3114,6.9748,0.2860,-0.4172,-0.1548,1.4650,0.5150,0.4052,0.9142
6.9126,-0.3320,7.0255,0.2881,-0.4235,-0.1711,1.4950,0.4950,0.4109,0.9117
6.9588,-0.3531,7.0763,0.2902,-0.4310,-0.1885,1.5250,0.4750,0.4177,0.9086
7.0048,-0.3745,7.1271,0.2922,-0.4397,-0.2068,1.4950,0.5050,0.4257,0.9049
7.0507,-0.3963,7.1778,0.2943,-0.4497,-0.2258,1.5350,0.4850,0.4347,0.9006
7.0963,-0.4186,7.2286,0.2964,-0.4610,-0.2452,1.5650,0.4650,0.4449,0.8956
7.1415,-0.4415,7.2793,0.2985,-0.4737,-0.2649,1.5450,0.4350,0.4561,0.8899
7.1864,-0.4649,7.3299,0.3006,-0.4876,-0.2846,1.5250,0.4750,0.4685,0.8835
7.2309,-0.4889,7.3805,0.3026,-0.5028,-0.3041,1.5050,0.4450,0.4819,0.8762
7.2749,-0.5136,7.4309,0.3047,-0.5195,-0.3232,1.4950,0.4350,0.4964,0.8681
7.3184,-0.5390,7.4813,0.3068,-0.5375,-0.3418,1.4850,0.4550,0.5120,0.8590
7.3614,-0.5651,7.5316,0.3088,-0.5569,-0.3596,1.4750,0.4750,0.5285,0.8489
7.4037,-0.5921,7.5818,0.3109,-0.5777,-0.3764,1.4050,0.4650,0.5461,0.8377
7.4453,-0.6199,7.6318,0.3129,-0.5999,-0.3919,1.3950,0.5050,0.5646,0.8254
7.4863,-0.6486,7.6818,0.3150,-0.6231,-0.4061,1.3750,0.4750,0.5835,0.8121
7.5265,-0.6782,7.7318,0.3170,-0.6461,-0.4187,1.3450,0.5050,0.6021,0.7984
7.5659,-0.7086,7.7816,0.3191,-0.6690,-0.4294,1.3250,0.4850,0.6202,0.7844
7.6046,-0.7400,7.8314,0.3211,-0.6918,-0.4381,1.2650,0.5350,0.6379,0.7701
7.6426,-0.7721,7.8812,0.3232,-0.7144,-0.4446,1.2650,0.5750,0.6551,0.7555
7.6798,-0.8051,7.9309,0.3252,-0.7368,-0.4487,1.2050,0.5850,0.6719,0.7406
7.7162,-0.8389,7.9806,0.3272,-0.7591,-0.4514,1.2050,0.5850,0.6882,0.7255
7.7519,-0.8735,8.0303,0.3293,-0.7812,-0.4526,1.1850,0.6250,0.7041,0.7101
7.7868,-0.9089,8.0800,0.3313,-0.8031,-0.4526,1.1750,0.6550,0.7195,0.6945
7.8209,-0.9450,8.1296,0.3334,-0.8249,-0.4513,1.1550,0.6850,0.7345,0.6786
7.8542,-0.9819,8.1793,0.3354,-0.8465,-0.4489,1.1650,0.7150,0.7490,0.6626
7.8867,-1.0195,8.2290,0.3374,-0.8680,-0.4454,1.1150,0.7450,0.7630,0.6464
7.9185,-1.0577,8.2787,0.3395,-0.8893,-0.4411,1.1150,0.7650,0.7766,0.6299
7.9494,-1.0967,8.3285,0.3415,-0.9105,-0.4360,1.0550,0.7350,0.7898,0.6134
7.9795,-1.1363,8.3783,0.3436,-0.9315,-0.4304,1.0050,0.7650,0.8025,0.5966
8.0088,-1.1766,8.4281,0.3456,-0.9524,-0.4246,1.0150,0.7850,0.8148,0.5798
8.0373,-1.2175,8.4779,0.3476,-0.9731,-0.4188,0.9650,0.8150,0.8266,0.5628
8.0649,-1.2590,8.5278,0.3497,-0.9937,-0.4131,0.9150,0.8350,0.8380,0.5456
8.0917,-1.3012,8.5777,0.3517,-1.0141,-0.4080,0.8750,0.8250,0.8490,0.5284
8.1177,-1.3439,8.6277,0.3538,-1.0345,-0.4037,0.8450,0.8150,0.8596,0.5110
8.1428,-1.3871,8.6777,0.3558,-1.0547,-0.4006,0.8550,0.8350,0.8697,0.4935
8.1671,-1.4309,8.7278,0.3579,-1.0748,-0.3979,0.8150,0.8550,0.8795,0.4759
8.1905,-1.4753,8.7780,0.3599,-1.0948,-0.3954,0.7750,0.8650,0.8888,0.4583
8.2131,-1.5201,8.8282,0.3620,-1.1146,-0.3931,0.8050,0.8850,0.8978,0.4405
8.2348,-1.5654,8.8784,0.3641,-1.1344,-0.3912,0.7650,0.9050,0.9063,0.4227
8.2556,-1.6113,8.9287,0.3661,-1.1541,-0.3896,0.7350,0.9150,0.9144,0.4047
8.2756,-1.6575,8.9791,0.3682,-1.1737,-0.3884,0.7150,0.9250,0.9222,0.3867
8.2946,-1.7042,9.0296,0.3703,-1.1933,-0.3875,0.6850,0.9450,0.9296,0.3686
8.3128,-1.7514,9.0801,0.3723,-1.2127,-0.3871,0.6650,0.9550,0.9366,0.3505
8.3300,-1.7989,9.1307,0.3744,-1.2321,-0.3870,0.6350,0.9650,0.9432,0.3322
8.3464,-1.8468,9.1813,0.3765,-1.2515,-0.3875,0.6650,0.9750,0.9495,0.3139
8.3618,-1.8951,9.2320,0.3786,-1.2709,-0.3884,0.6450,0.9850,0.9554,0.2954
8.3764,-1.9437,9.2827,0.3806,-1.2904,-0.3898,0.6250,0.9950,0.9610,0.2767
8.3899,-1.9927,9.3335,0.3827,-1.3101,-0.3918,0.6150,1.0050,0.9662,0.2578
8.4025,-2.0419,9.3843,0.3848,-1.3299,-0.3943,0.5950,1.0150,0.9711,0.2386
8.4142,-2.0914,9.4351,0.3869,-1.3498,-0.3973,0.5850,1.0150,0.9757,0.2192
8.4248,-2.1410,9.4860,0.3890,-1.3700,-0.4009,0.5650,1.0250,0.9799,0.1995
8.4344,-2.1909,9.5368,0.3911,-1.3903,-0.4051,0.5550,1.0350,0.9838,0.1795
8.4430,-2.2410,9.5875,0.3931,-1.4110,-0.4098,0.5450,1.0350,0.9873,0.1592
8.4506,-2.2912,9.6383,0.3952,-1.4318,-0.4151,0.5350,1.0450,0.9904,0.1385
8.4571,-2.3414,9.6890,0.3973,-1.4529,-0.4210,0.5250,1.0450,0.9931,0.1176
8.4625,-2.3918,9.7397,0.3994,-1.4744,-0.4278,0.5250,1.0450,0.9954,0.0963
8.4668,-2.4422,9.7903,0.4015,-1.4961,-0.4354,0.5150,1.0450,0.9972,0.0746
8.4701,-2.4927,9.8408,0.4035,-1.5182,-0.4436,0.5150,1.0550,0.9986,0.0526
8.4721,-2.5431,9.8913,0.4056,-1.5406,-0.4523,0.5050,1.0550,0.9995,0.0302
8.4731,-2.5935,9.9417,0.4077,-1.5634,-0.4613,0.5050,1.0550,1.0000,0.0074
8.4729,-2.6439,9.9920,0.4097,-1.5865,-0.4705,0.5050,1.0550,0.9999,-0.0158
8.4715,-2.6941,10.0423,0.4118,-1.6101,-0.4797,0.5050,1.0550,0.9992,-0.0393
8.4689,-2.7442,10.0925,0.4138,-1.6341,-0.4887,0.5150,1.0550,0.9980,-0.0633
8.4652,-2.7942,10.1426,0.4159,-1.6585,-0.4976,0.5150,1.0450,0.9962,-0.0876
8.4601,-2.8440,10.1926,0.4180,-1.6834,-0.5062,0.5250,1.0450,0.9937,-0.1124
8.4539,-2.8936,10.2426,0.4200,-1.7087,-0.5144,0.5350,1.0450,0.9905,-0.1375
8.4464,-2.9429,10.2925,0.4221,-1.7345,-0.5222,0.5450,1.0450,0.9866,-0.1630
8.4376,-2.9920,10.3424,0.4241,-1.7608,-0.5295,0.5550,1.0350,0.9820,-0.1889
8.4276,-3.0408,10.3922,0.4261,-1.7875,-0.5365,0.5650,1.0350,0.9766,-0.2150
8.4162,-3.0893,10.4420,0.4282,-1.8148,-0.5429,0.5850,1.0250,0.9704,-0.2415
8.4035,-3.1374,10.4918,0.4302,-1.8425,-0.5489,0.5950,1.0250,0.9633,-0.2683
8.3895,-3.1852,10.5416,0.4323,-1.8706,-0.5543,0.6150,1.0150,0.9554,-0.2954
8.3741,-3.2325,10.5913,0.4343,-1.8993,-0.5593,0.6450,1.0050,0.9465,-0.3226
8.3574,-3.2794,10.6412,0.4363,-1.9284,-0.5639,0.6650,1.0050,0.9367,-0.3500
8.3392,-3.3259,10.6910,0.4384,-1.9579,-0.5681,0.6950,0.9950,0.9260,-0.3775
8.3197,-3.3718,10.7409,0.4404,-1.9876,-0.5718,0.7250,0.9850,0.9144,-0.4049
8.2988,-3.4172,10.7909,0.4425,-2.0171,-0.5753,0.7550,0.9750,0.9020,-0.4317
8.2765,-3.4620,10.8410,0.4445,-2.0465,-0.5785,0.8550,0.9650,0.8890,-0.4579
8.2529,-3.5062,10.8911,0.4466,-2.0757,-0.5818,0.8950,0.9550,0.8752,-0.4837
8.2280,-3.5498,10.9412,0.4487,-2.1048,-0.5852,0.8750,0.9450,0.8608,-0.5090
8.2019,-3.5926,10.9914,0.4507,-2.1338,-0.5888,0.9250,0.8650,0.8456,-0.5338
8.1745,-3.6346,11.0416,0.4528,-2.1629,-0.5925,0.9750,0.8550,0.8298,-0.5581
8.1458,-3.6759,11.0918,0.4548,-2.1920,-0.5964,1.0350,0.8350,0.8132,-0.5820
8.1160,-3.7163,11.1420,0.4569,-2.2212,-0.6004,1.0950,0.8150,0.7958,-0.6055
8.0850,-3.7558,11.1922,0.4589,-2.2506,-0.6045,1.0950,0.7950,0.7777,-0.6286
8.0529,-3.7943,11.2424,0.4610,-2.2801,-0.6088,1.1650,0.7750,0.7588,-0.6513
8.0197,-3.8319,11.2925,0.4631,-2.3098,-0.6132,1.2350,0.7650,0.7392,-0.6735
7.9854,-3.8684,11.3427,0.4651,-2.3397,-0.6177,1.2550,0.7950,0.7187,-0.6954
7.9500,-3.9039,11.3927,0.4672,-2.3700,-0.6230,1.2750,0.7650,0.6973,-0.7168
7.9136,-3.9382,11.4428,0.4692,-2.4005,-0.6289,1.2950,0.7450,0.6751,-0.7377
7.8763,-3.9714,11.4928,0.4713,-2.4314,-0.6351,1.3250,0.7150,0.6520,-0.7583
7.8379,-4.0034,11.5427,0.4733,-2.4628,-0.6415,1.3550,0.6750,0.6279,-0.7783
7.7986,-4.0341,11.5926,0.4754,-2.4945,-0.6480,1.3750,0.6450,0.6029,-0.7978
7.7583,-4.0635,11.6424,0.4774,-2.5267,-0.6540,1.3750,0.6050,0.5769,-0.8168
7.7172,-4.0915,11.6922,0.4794,-2.5594,-0.6597,1.4250,0.6250,0.5499,-0.8352
7.6752,-4.1182,11.7419,0.4815,-2.5926,-0.6651,1.4650,0.6050,0.5219,-0.8530
7.6324,-4.1434,11.7916,0.4835,-2.6263,-0.6697,1.4850,0.5550,0.4928,-0.8701
7.5887,-4.1672,11.8413,0.4856,-2.6606,-0.6735,1.4850,0.5650,0.4627,-0.8865
7.5443,-4.1894,11.8910,0.4876,-2.6954,-0.6765,1.4950,0.5450,0.4315,-0.9021
7.4991,-4.2100,11.9407,0.4896,-2.7308,-0.6788,1.4950,0.5350,0.3993,-0.9168
7.4532,-4.2291,11.9904,0.4917,-2.7668,-0.6805,1.5050,0.5350,0.3660,-0.9306
7.4065,-4.2464,12.0402,0.4937,-2.8034,-0.6825,1.5250,0.5050,0.3318,-0.9434
7.3592,-4.2621,12.0900,0.4958,-2.8405,-0.6846,1.5350,0.5150,0.2965,-0.9550
7.3113,-4.2760,12.1400,0.4978,-2.8782,-0.6867,1.5550,0.4750,0.2603,-0.9655
7.2627,-4.2881,12.1900,0.4999,-2.9164,-0.6885,1.5350,0.4850,0.2233,-0.9748
7.2135,-4.2984,12.2403,0.5019,-2.9549,-0.6900,1.5550,0.4850,0.1857,-0.9826
7.1638,-4.3068,12.2907,0.5040,-2.9922,-0.6909,1.5450,0.4950,0.1489,-0.9889
7.1136,-4.3134,12.3413,0.5061,-3.0283,-0.6913,1.5250,0.4950,0.1130,-0.9936
7.0632,-4.3183,12.3919,0.5081,-3.0634,-0.6909,1.5150,0.4950,0.0781,-0.9969
7.0125,-4.3214,12.4427,0.5102,-3.0976,-0.6897,1.4650,0.5050,0.0440,-0.9990
6.9617,-4.3227,12.4935,0.5123,-3.1309,-0.6876,1.4550,0.5050,0.0107,-0.9999
6.9109,-4.3225,12.5443,0.5144,3.1195,-0.6846,1.4550,0.5050,-0.0220,-0.9998
6.8602,-4.3205,12.5951,0.5165,3.0874,-0.6805,1.4650,0.5050,-0.0542,-0.9985
6.8097,-4.3170,12.6457,0.5185,3.0554,-0.6754,1.4650,0.4950,-0.0861,-0.9963
6.7595,-4.3118,12.6962,0.5206,3.0234,-0.6694,1.4750,0.5450,-0.1180,-0.9930
6.7095,-4.3051,12.7466,0.5227,2.9911,-0.6623,1.4950,0.5450,-0.1499,-0.9887
6.6599,-4.2967,12.7969,0.5247,2.9586,-0.6548,1.4550,0.5350,-0.1819,-0.9833
6.6108,-4.2868,12.8470,0.5268,2.9259,-0.6468,1.4750,0.5850,-0.2140,-0.9768
6.5621,-4.2753,12.8970,0.5289,2.8929,-0.6383,1.5050,0.5750,-0.2461,-0.9692
6.5140,-4.2622,12.9469,0.5309,2.8596,-0.6289,1.4750,0.6450,-0.2783,-0.9605
6.4664,-4.2475,12.9967,0.5329,2.8259,-0.6185,1.4850,0.6650,-0.3105,-0.9506
6.4194,-4.2313,13.0464,0.5350,2.7930,-0.6069,1.4850,0.6550,-0.3416,-0.9399
6.3731,-4.2137,13.0960,0.5370,2.7612,-0.5942,1.4750,0.6950,-0.3713,-0.9285
6.3274,-4.1945,13.1456,0.5390,2.7306,-0.5802,1.4550,0.6850,-0.3995,-0.9167
