x,y,s,s_norm,track_yaw_rad,kappa,w_l,w_r,n_x,n_y
0.0236,0.2606,0.0000,0.0000,0.2643,-0.1891,0.8450,1.1350,-0.2612,0.9653
0.0722,0.2735,0.0502,0.0021,0.2549,-0.1864,0.8350,1.1450,-0.2521,0.9677
0.1208,0.2859,0.1004,0.0041,0.2456,-0.1837,0.8150,1.1550,-0.2431,0.9700
0.1695,0.2979,0.1506,0.0062,0.2365,-0.1809,0.8050,1.1650,-0.2343,0.9722
0.2183,0.3094,0.2007,0.0082,0.2275,-0.1780,0.7950,1.1150,-0.2255,0.9742
0.2671,0.3205,0.2508,0.0103,0.2186,-0.1751,0.7750,1.1250,-0.2169,0.9762
0.3161,0.3311,0.3009,0.0123,0.2099,-0.1722,0.7650,1.1350,-0.2084,0.9780
0.3651,0.3413,0.3509,0.0144,0.2014,-0.1693,0.7550,1.1450,-0.2000,0.9798
0.4141,0.3511,0.4010,0.0164,0.1930,-0.1663,0.7450,1.1550,-0.1918,0.9814
0.4632,0.3605,0.4510,0.0185,0.1847,-0.1633,0.7350,1.1650,-0.1837,0.9830
0.5124,0.3695,0.5010,0.0205,0.1766,-0.1602,0.7250,1.1650,-0.1757,0.9844
0.5617,0.3781,0.5510,0.0226,0.1687,-0.1571,0.7150,1.1750,-0.1679,0.9858
0.6110,0.3863,0.6009,0.0246,0.1609,-0.1540,0.7050,1.1850,-0.1602,0.9871
0.6604,0.3941,0.6509,0.0267,0.1533,-0.1509,0.6950,1.1850,-0.1527,0.9883
0.7098,0.4016,0.7009,0.0287,0.1458,-0.1478,0.6850,1.1950,-0.1453,0.9894
0.7593,0.4086,0.7509,0.0308,0.1385,-0.1446,0.6750,1.2050,-0.1381,0.9904
0.8088,0.4154,0.8009,0.0328,0.1314,-0.1414,0.6250,1.2050,-0.1310,0.9914
0.8584,0.4217,0.8509,0.0349,0.1244,-0.1382,0.6150,1.2150,-0.1241,0.9923
0.9080,0.4278,0.9009,0.0369,0.1176,-0.1350,0.6050,1.2150,-0.1173,0.9931
0.9577,0.4335,0.9509,0.0390,0.1109,-0.1318,0.6050,1.2250,-0.1107,0.9939
1.0074,0.4388,1.0009,0.0410,0.1044,-0.1285,0.5950,1.2250,-0.1042,0.9946
1.0572,0.4439,1.0510,0.0431,0.0980,-0.1253,0.5850,1.2250,-0.0979,0.9952
1.1070,0.4486,1.1010,0.0451,0.0919,-0.1221,0.5850,1.2350,-0.0917,0.9958
1.1569,0.4531,1.1511,0.0472,0.0858,-0.1188,0.5750,1.2350,-0.0857,0.9963
1.2068,0.4572,1.2011,0.0493,0.0800,-0.1156,0.5750,1.2450,-0.0799,0.9968
1.2568,0.4611,1.2512,0.0513,0.0743,-0.1123,0.5750,1.2450,-0.0742,0.9972
1.3067,0.4647,1.3014,0.0534,0.0687,-0.1091,0.6150,1.2450,-0.0687,0.9976
1.3568,0.4680,1.3515,0.0554,0.0633,-0.1059,0.6150,1.2550,-0.0633,0.9980
1.4068,0.4710,1.4016,0.0575,0.0581,-0.1027,0.6150,1.2550,-0.0581,0.9983
1.4569,0.4738,1.4518,0.0595,0.0530,-0.0994,0.6050,1.2550,-0.0530,0.9986
1.5070,0.4763,1.5020,0.0616,0.0481,-0.0962,0.6050,1.2550,-0.0481,0.9988
1.5572,0.4786,1.5522,0.0636,0.0434,-0.0930,0.6050,1.2550,-0.0434,0.9991
1.6073,0.4807,1.6024,0.0657,0.0388,-0.0898,0.5950,1.2650,-0.0388,0.9992
1.6575,0.4825,1.6526,0.0678,0.0344,-0.0867,0.5950,1.2650,-0.0344,0.9994
1.7077,0.4842,1.7029,0.0698,0.0301,-0.0835,0.5950,1.2650,-0.0301,0.9995
1.7580,0.4856,1.7531,0.0719,0.0260,-0.0803,0.5950,1.2650,-0.0260,0.9997
1.8083,0.4868,1.8034,0.0739,0.0220,-0.0772,0.5950,1.2650,-0.0220,0.9998
1.8585,0.4878,1.8537,0.0760,0.0182,-0.0740,0.5950,1.2650,-0.0182,0.9998
1.9088,0.4886,1.9040,0.0781,0.0146,-0.0709,0.5950,1.2650,-0.0146,0.9999
1.9592,0.4893,1.9543,0.0801,0.0111,-0.0678,0.5950,1.2650,-0.0111,0.9999
2.0095,0.4897,2.0047,0.0822,0.0078,-0.0647,0.5950,1.2650,-0.0078,1.0000
2.0598,0.4900,2.0550,0.0843,0.0046,-0.0615,0.5850,1.2750,-0.0046,1.0000
2.1102,0.4902,2.1054,0.0863,0.0016,-0.0582,0.5850,1.3250,-0.0016,1.0000
2.1606,0.4902,2.1557,0.0884,-0.0013,-0.0546,0.5850,1.3250,0.0013,1.0000
2.2109,0.4901,2.2061,0.0905,-0.0040,-0.0510,0.5350,1.3250,0.0040,1.0000
2.2613,0.4898,2.2565,0.0925,-0.0066,-0.0473,0.5450,1.3150,0.0066,1.0000
2.3117,0.4894,2.3069,0.0946,-0.0090,-0.0436,0.5450,1.3150,0.0090,1.0000
2.3621,0.4889,2.3572,0.0967,-0.0112,-0.0400,0.5450,1.3150,0.0112,0.9999
2.4125,0.4883,2.4076,0.0987,-0.0133,-0.0365,0.5450,1.3150,0.0133,0.9999
2.4629,0.4876,2.4580,0.1008,-0.0153,-0.0331,0.5450,1.3150,0.0153,0.9999
2.5132,0.4868,2.5084,0.1029,-0.0170,-0.0299,0.5450,1.3150,0.0170,0.9999
2.5636,0.4859,2.5588,0.1049,-0.0187,-0.0270,0.4950,1.3150,0.0187,0.9998
2.6140,0.4849,2.6092,0.1070,-0.0202,-0.0243,0.4950,1.3150,0.0202,0.9998
2.6644,0.4838,2.6596,0.1091,-0.0215,-0.0219,0.4950,1.3150,0.0215,0.9998
2.7147,0.4827,2.7100,0.1111,-0.0227,-0.0198,0.4950,1.3150,0.0227,0.9997
2.7651,0.4815,2.7603,0.1132,-0.0237,-0.0181,0.4950,1.3150,0.0237,0.9997
2.8154,0.4803,2.8107,0.1153,-0.0246,-0.0168,0.4950,1.3150,0.0246,0.9997
2.8657,0.4791,2.8610,0.1173,-0.0253,-0.0158,0.5050,1.3050,0.0253,0.9997
2.9161,0.4778,2.9113,0.1194,-0.0259,-0.0153,0.5050,1.3050,0.0259,0.9997
2.9663,0.4765,2.9616,0.1214,-0.0263,-0.0151,0.5050,1.3050,0.0263,0.9997
3.0166,0.4751,3.0119,0.1235,-0.0265,-0.0154,0.5050,1.3050,0.0265,0.9996
3.0669,0.4738,3.0622,0.1256,-0.0267,-0.0161,0.5050,1.3050,0.0267,0.9996
3.1171,0.4725,3.1125,0.1276,-0.0269,-0.0173,0.5050,1.3050,0.0269,0.9996
3.1673,0.4711,3.1627,0.1297,-0.0273,-0.0189,0.5050,1.3050,0.0273,0.9996
3.2175,0.4697,3.2129,0.1317,-0.0280,-0.0209,0.5150,1.3050,0.0280,0.9996
3.2677,0.4683,3.2631,0.1338,-0.0289,-0.0233,0.5150,1.2950,0.0289,0.9996
3.3178,0.4668,3.3133,0.1359,-0.0301,-0.0261,0.5650,1.2950,0.0301,0.9995
3.3680,0.4653,3.3634,0.1379,-0.0315,-0.0293,0.5650,1.2950,0.0315,0.9995
3.4181,0.4636,3.4135,0.1400,-0.0331,-0.0329,0.5650,1.2950,0.0331,0.9995
3.4681,0.4619,3.4637,0.1420,-0.0350,-0.0368,0.5650,1.2950,0.0350,0.9994
3.5182,0.4601,3.5138,0.1441,-0.0371,-0.0411,0.5750,1.2950,0.0371,0.9993
3.5683,0.4582,3.5638,0.1461,-0.0395,-0.0456,0.5750,1.2850,0.0395,0.9992
3.6183,0.4562,3.6139,0.1482,-0.0421,-0.0505,0.5750,1.2850,0.0421,0.9991
3.6683,0.4540,3.6640,0.1502,-0.0449,-0.0558,0.5750,1.2350,0.0449,0.9990
3.7183,0.4517,3.7140,0.1523,-0.0480,-0.0613,0.5750,1.2350,0.0480,0.9988
3.7683,0.4492,3.7640,0.1543,-0.0513,-0.0671,0.5850,1.2350,0.0513,0.9987
3.8182,0.4465,3.8141,0.1564,-0.0549,-0.0729,0.5850,1.2250,0.0549,0.9985
